custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,lninc,inccat,debtinc,creddebt,lncreddebt,othdebt,lnothdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,lnlongmon,longten,lnlongten,tollfree,tollmon,lntollmon,tollten,lntollten,equip,equipmon,lnequipmon,equipten,lnequipten,callcard,cardmon,lncardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
"3964-QJWTRG-NPN",1,2,1,20,2,"September",15,3,1,1,0,1,0,31.000000,3.433987,2,11.100000,1.200909,0.183079,2.240091,0.806516,1,1,0,-1,-1,3,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,14.300000,1,0,0,8,4,22,0,1,1,0,0,0,0,1,0,0,9,6,1,0,1,3,1,1,0,2,2,5,3,1,0,3,2,5.000000,81.660000,4.000000,67.800000,0,3,5,1,6.500000,1.871802,34.400000,3.538057,1,29.000000,3.367296,161.050000,5.081715,1,29.500000,3.384390,126.100000,4.837075,1,14.250000,2.656757,60.000000,4.094345,0,0.000000,,0.000000,,1,1,1,0,0,1,1,1,0,1,13,1,1,0,0,0,1,1,0,0,0,1,0
"0648-AIPJSP-UVM",5,5,0,22,2,"May",17,4,2,0,0,1,0,15.000000,2.708050,1,18.600000,1.222020,0.200505,1.567980,0.449788,1,1,0,-1,-1,2,6,0,0,0,0,0,0,6,1,3,2,1,2,1,1,6.800000,1,0,0,1,1,29,1,0,0,1,0,0,1,0,1,1,9,4,1,0,0,2,4,1,0,4,2,4,1,3,0,4,2,5.000000,42.600000,2.000000,34.940000,1,1,39,0,8.900000,2.186051,330.600000,5.800909,0,0.000000,,0.000000,,1,54.850000,4.004602,1975.000000,7.588324,1,16.000000,2.772589,610.000000,6.413459,1,45.650000,3.821004,1683.550000,7.428660,1,1,1,4,1,0,1,0,1,1,18,1,1,1,1,1,1,1,1,1,0,0,0
"5195-TLUDJE-HVO",3,4,1,67,6,"June",14,2,2,0,16,5,0,35.000000,3.555348,2,9.900000,0.928620,-0.074056,2.536380,0.930738,0,4,1,13,2,3,3,2,1,0,0,0,0,0,1,1,30,5,3,1,1,18.800000,1,0,1,4,3,24,1,0,1,1,1,0,0,0,0,0,2,5,1,0,0,2,1,4,0,35,5,4,1,3,0,25,5,9.000000,184.220000,7.000000,175.750000,0,3,65,0,28.400000,3.346389,1858.350000,7.527444,0,0.000000,,0.000000,,0,0.000000,,0.000000,,1,23.000000,3.135494,1410.000000,7.251345,0,0.000000,,0.000000,,1,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0
"4459-VLPQUH-3OL",4,3,0,23,2,"May",16,3,2,0,0,1,0,20.000000,2.995732,1,5.700000,0.022800,-3.780995,1.117200,0.110826,1,2,1,18,4,5,0,0,0,0,0,0,0,0,1,3,3,2,3,1,1,8.700000,1,0,1,1,1,38,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,1,4,0,5,2,3,2,4,0,5,2,17.000000,340.990000,1.000000,18.420000,1,1,36,0,6.000000,1.791759,199.450000,5.295564,0,0.000000,,0.000000,,0,0.000000,,0.000000,,1,21.000000,3.044522,685.000000,6.529419,0,0.000000,,0.000000,,1,0,0,2,0,0,0,0,1,1,26,1,1,1,0,1,1,1,0,1,1,0,0
"8158-SMTQFB-CNO",2,2,0,26,3,"July",16,3,2,0,1,1,0,23.000000,3.135494,1,1.700000,0.214659,-1.538705,0.176341,-1.735336,0,1,1,13,2,4,0,0,0,0,0,0,0,0,0,2,3,2,1,0,1,10.600000,1,0,1,6,3,32,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,8,3,1,3,2,0,9,3,8.000000,255.100000,7.000000,252.730000,1,3,21,0,3.050000,1.115142,74.100000,4.305416,1,16.500000,2.803360,387.700000,5.960232,0,0.000000,,0.000000,,1,17.250000,2.847812,360.000000,5.886104,1,19.050000,2.947067,410.800000,6.018106,0,1,0,3,1,1,1,1,0,1,27,1,1,1,0,1,0,1,0,0,0,1,0
"9662-FUSYIM-1IV",4,4,0,64,5,"August",17,4,3,0,22,5,0,107.000000,4.672829,4,5.600000,1.060584,0.058820,4.931416,1.595626,0,2,0,-1,-1,1,11,1,1,0,0,2,0,7,1,1,31,5,0,-1,-1,-1.000000,-1,-1,0,8,4,23,0,0,0,0,1,0,0,1,0,0,9,4,0,0,0,2,4,1,1,18,5,3,3,2,1,9,3,11.000000,228.270000,0.000000,0.000000,0,3,28,0,8.100000,2.091864,264.900000,5.579352,1,26.750000,3.286534,726.600000,6.588376,1,35.500000,3.569533,970.950000,6.878275,1,28.250000,3.341093,765.000000,6.639876,0,0.000000,,0.000000,,0,0,1,0,1,1,1,1,0,1,21,1,1,1,1,0,0,0,0,0,0,1,0
"7432-QKQFJJ-K72",2,5,1,52,5,"July",14,2,1,0,10,3,0,77.000000,4.343805,4,1.900000,0.501809,-0.689536,0.961191,-0.039582,0,2,0,-1,-1,1,2,0,2,0,0,0,0,0,0,3,21,4,2,1,0,25.600000,2,1,0,4,3,32,1,0,0,1,0,0,1,1,0,0,9,4,0,0,0,5,3,1,1,3,2,2,3,4,0,2,2,20.000000,822.320000,5.000000,130.140000,0,2,15,0,3.800000,1.335001,44.800000,3.802208,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0,0,1,0,0,1,0,0,1,19,1,1,1,0,1,1,0,0,0,0,0,0
"8959-RZWRHU-ST8",3,4,1,44,4,"October",16,3,1,0,11,4,0,97.000000,4.574711,4,14.400000,5.950368,1.783453,8.017632,2.081643,0,5,1,15,3,2,10,0,2,0,0,0,0,8,1,3,20,4,1,1,0,55.500000,3,0,1,5,3,31,0,0,0,0,1,0,0,0,0,0,2,6,0,0,1,1,1,4,0,25,5,3,1,4,0,20,5,6.000000,592.700000,7.000000,712.100000,0,3,46,0,14.850000,2.698000,612.700000,6.417875,1,24.000000,3.178054,1110.400000,7.012476,0,0.000000,,0.000000,,1,14.500000,2.674149,630.000000,6.445720,0,0.000000,,0.000000,,1,0,0,0,1,1,1,1,0,1,13,1,1,1,0,0,0,0,0,1,0,0,0
"9124-DZALHM-S6I",2,3,1,66,6,"October",12,2,1,0,15,4,1,16.000000,2.772589,1,2.600000,0.102336,-2.279494,0.313664,-1.159433,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,21,4,1,1,1,8.600000,1,0,0,4,3,25,1,1,0,1,1,0,0,0,0,0,9,3,1,1,1,3,4,2,0,26,5,2,4,3,0,17,5,12.000000,326.590000,6.000000,141.240000,1,3,53,0,21.050000,3.046901,1074.350000,6.979471,0,0.000000,,0.000000,,0,0.000000,,0.000000,,1,15.500000,2.740840,830.000000,6.721426,0,0.000000,,0.000000,,1,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,0,0,0,0,1,0,0
"3512-MUWBGY-52X",2,2,0,47,4,"July",11,1,6,0,19,5,0,84.000000,4.430817,4,4.100000,1.770216,0.571102,1.673784,0.515087,0,4,0,-1,-1,2,1,1,0,0,0,0,0,0,1,1,19,4,4,1,0,41.000000,3,1,0,1,1,29,1,1,0,0,0,0,0,0,0,0,9,3,1,1,1,5,4,1,0,2,2,2,2,1,0,2,2,11.000000,199.640000,5.000000,111.170000,1,3,3,1,3.650000,1.294727,20.050000,2.998229,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0
"5621-QSZPSF-NF2",4,1,1,59,5,"July",19,4,1,0,8,3,0,47.000000,3.850148,2,8.600000,1.358112,0.306095,2.683888,0.987266,0,3,0,-1,-1,1,7,3,0,0,0,0,0,4,0,2,14,3,3,1,0,28.000000,2,0,1,1,1,17,1,0,0,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,16,5,1,1,4,0,17,5,11.000000,488.970000,7.000000,322.070000,0,3,50,1,8.550000,2.145931,446.550000,6.101551,0,0.000000,,0.000000,,1,31.200000,3.440418,1568.350000,7.357779,1,19.000000,2.944439,930.000000,6.835185,0,0.000000,,0.000000,,1,0,0,3,0,1,0,0,1,1,26,1,1,1,0,1,1,0,0,0,0,0,0
"8241-PWPONH-62O",2,4,1,33,3,"October",8,1,2,0,4,2,0,19.000000,2.944439,1,0.900000,0.130131,-2.039214,0.040869,-3.197383,0,4,1,9,1,5,6,0,0,0,0,0,0,6,0,2,5,2,2,1,1,9.300000,1,0,1,4,3,28,1,0,0,1,0,0,0,1,0,0,1,4,0,0,0,3,2,1,0,6,3,2,2,3,0,2,2,14.000000,338.260000,2.000000,55.170000,0,3,9,1,3.600000,1.280934,37.000000,3.610918,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0.000000,,0.000000,,0,0,0,0,0,0,0,0,0,1,27,0,1,1,0,0,0,0,0,0,0,0,0
"8795-FYOXCT-P09",5,2,0,44,4,"March",10,1,1,0,12,4,0,73.000000,4.290459,3,2.800000,1.250928,0.223886,0.793072,-0.231841,0,5,0,-1,-1,1,1,0,1,0,0,0,0,0,1,3,9,3,1,1,1,38.500000,2,0,1,1,1,25,1,0,0,0,0,0,0,0,0,0,9,4,1,0,1,4,4,1,1,1,1,1,3,1,0,1,1,12.000000,534.360000,5.000000,198.390000,0,3,5,0,6.750000,1.909543,29.900000,3.397858,0,0.000000,,0.000000,,0,0.000000,,0.000000,,1,7.000000,1.945910,30.000000,3.401197,0,0.000000,,0.000000,,0,0,0,1,1,1,1,1,0,1,21,1,0,1,0,1,0,0,0,0,0,0,0
"1705-NMIQNO-IC4",3,2,0,58,5,"January",18,4,1,0,3,2,0,63.000000,4.143135,3,10.500000,1.924965,0.654908,4.690035,1.545440,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,4,32,5,0,-1,-1,-1.000000,-1,-1,0,3,2,16,0,0,1,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,25,5,3,4,1,0,17,5,10.000000,593.500000,5.000000,384.940000,1,1,58,0,12.100000,2.493205,680.750000,6.523195,1,30.750000,3.425890,1776.700000,7.482513,0,0.000000,,0.000000,,1,24.500000,3.198673,1415.000000,7.254885,0,0.000000,,0.000000,,1,0,0,0,1,0,1,1,0,1,21,1,1,1,0,1,0,0,0,1,0,0,0
"9205-PAZEXY-90Q",2,1,1,72,6,"December",20,5,4,1,27,5,1,17.000000,2.833213,1,9.800000,1.276156,0.243852,0.389844,-0.942009,0,4,1,17,4,2,0,0,0,0,0,0,0,0,1,1,14,3,1,1,1,9.300000,1,0,0,10,5,32,0,0,0,1,0,0,0,0,0,1,9,3,1,0,1,3,2,2,0,33,5,4,4,3,1,26,5,12.000000,233.170000,3.000000,39.930000,1,3,67,0,13.900000,2.631889,954.050000,6.860716,0,0.000000,,0.000000,,1,38.550000,3.651956,2580.750000,7.855835,1,23.250000,3.146305,1525.000000,7.329750,0,0.000000,,0.000000,,1,0,0,0,0,0,1,0,1,1,24,1,1,1,0,1,0,1,1,1,0,0,0
